5.0		87.33	82.33
6.0		82.12	71.22
7.0		77.28	61.74
8.0		72.79	53.66
8.5		70.83	50.34
8.5		70.66	50.06
8.6		70.45	49.72
8.6		70.37	49.59
8.6		70.24	49.37
9.0		68.61	46.73
10.0	64.72	40.78
11.0	61.09	35.65
12.0	57.70	31.23
13.0	54.53	27.39
14.0	51.56	24.06
15.0	48.79	21.17
16.0	46.18	18.65
16.6	44.33	16.93
16.9	43.62	16.31
17.0	43.38	16.11
17.2	42.91	15.71
18.0	41.43	14.53
19.0	39.26	12.85
20.0	37.23	11.37
21.0	35.31	10.07
22.0	33.50	8.93
23.0	31.79	7.92
24.0	30.18	7.03
24.9	28.62	6.23
25.0	28.65	6.25
26.0	27.21	5.56
27.0	25.85	4.95
28.0	24.56	4.40
29.0	23.34	3.92
30.0	22.18	3.50
31.0	21.08	3.12
32.0	20.04	2.78
33.0	19.05	2.48
34.0	18.11	2.21
35.0	17.22	1.98
36.0	16.38	1.76
37.0	15.57	1.58
38.0	14.81	1.41
39.0	14.08	1.26
40.0	13.39	1.12
41.0	12.73	1.00
42.0	12.10	0.90
43.0	11.50	0.80
44.0	10.94	0.72
45.0	10.39	0.64
46.0	9.88	0.57
47.0	9.39	0.51
48.0	8.92	0.45
49.0	8.47	0.41
50.0	8.04	0.36
51.0	7.63	0.32
52.0	7.24	0.29
53.0	6.87	0.26
54.0	6.52	0.23
55.0	6.18	0.20
56.0	5.86	0.18
57.0	5.55	0.16
58.0	5.25	0.14
59.0	4.97	0.13
60.0	4.70	0.11
